row,offer_text,assigned_itemcode,assigned_itemname,label_provenance,final_verdict,replacement_itemcode,replacement_itemname,justification,verdict_source,adjudicator_verdict,adjudicator_note,n_superior_skus_found,skus_compared,label_defects,runtime_rule_defects,protein_inconsistency,pack_inconsistency,category_unreachable,multi_entity_offer
0,AL KABEER CHICKEN POPCORN 1000GR,CCFA,CHICKEN FRIES BULK,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=2; name similarity 91.1 vs 56.8 (+34.3); protein=1 family=1 pack=unknown; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer product identity is CHICKEN POPCORN; assigned CCFA is CHICKEN FRIES BULK, a different product (POP-CORN is not FRIES). CKPC 'CHICKEN POP-CORN' scores name=91 vs 56.8 for the assigned SKU, prot=1 and cat_ok=1, so it is the correct product line even though no popcorn SKU exists at the stated 1000GR (CKPC=400g, CKPCDA=750g); the fam=0 flag is the known POP-CORN/popcorn normalization artifact and must not be read as agreement with fries.",2,237,,,False,False,False,False
1,ALKABEER SHRIMP BREADED 250 GR,CSB,BREADED SHRIMPS 250,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"Assigned SKU accounts for every distinguishing word in the offer (['breaded', 'shrimp']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic+agent_downgrade,CORRECT_BUT_LOW_CONFIDENCE,"CSB 'BREADED SHRIMPS 250' matches product identity (breaded shrimps) and the offer's declared 250 GR exactly, and no alternative product line is plausible; prot=0 is a tokenizer artifact because all 237 contenders including the exact-name seafood SKUs report prot=0, so it carries no discriminating signal. Confidence is reduced only because pack=unknown (the '250 GR' token did not parse) leaves CSBA BREADED SHRIMPS BULK at a near-tie on name (76 vs 75), making the two separable by offer text but not by pipeline features.",0,237,,,False,False,False,False
2,ALKABEER CHICKEN POPCORN 400GR,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 91.1 vs 68.1 (+23.0); protein=1 family=1 pack=unknown; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer is CHICKEN POPCORN 400GR; CKPC 'CHICKEN POP-CORN' is 400 Gms x 12 Pkts with name=91 and rank 1 on name, while assigned CCF CHICKEN FRIES is a different product at name=68. Product identity plus exact 400g size agreement makes CKPC objectively better; fam=0 is the documented POP-CORN normalization artifact.",2,237,,,False,False,False,False
3,AL KABEER STUFFED FALAFEL 750GR,CVSF,STUFFED FELAFEL,real_flyer_catalogue_forced,VERIFIED_CORRECT,,,"Best of all 237 SKUs on name similarity (87.7, margin +26.8); no attribute conflict; pack unknown.",deterministic,VERIFIED_CORRECT,"CVSF STUFFED FELAFEL is spec 750 g. x 8, matching the offer's STUFFED FALAFEL 750GR on product identity, the 'stuffed' qualifier and the declared weight; it ranks 1/237 on both name (87.7) and rule (49.2). The nearest contenders (CVF plain FELAFEL 360g, CVFA/CVFAG bulk 1kg) are unstuffed and/or wrong size at name 49-61.",0,237,,,False,False,False,False
4,Al Kabeer Chicken Pop Corn 1000Gm,CCFA,CHICKEN FRIES BULK,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['1000gm', 'popcorn']; name rank 13/237 (61.0).",deterministic,INCORRECT,"Offer product is CHICKEN POP CORN; assigned CCFA is CHICKEN FRIES BULK, a different product, and only matches because its 1 kg spec agrees with the stated 1000Gm. CKPC 'CHICKEN POP-CORN' carries name=81 vs 61 for the assigned SKU and is the correct product line; no popcorn SKU exists at 1kg, so a size gap remains but product identity outranks size per the stated rules.",0,237,,,False,False,False,False
5,ALKABEER CHICKEN POPCORN 400gm,CCF,CHICKEN FRIES,real_flyer_catalogue_forced,INCORRECT,CKPC,CHICKEN POP-CORN,"CKPC (CHICKEN POP-CORN) is superior: covers strictly more of the offer's own wording (['chicken', 'popcorn'] vs ['chicken']). Offer words covered by replacement=['chicken', 'popcorn'] vs assigned=['chicken']; over-specific words replacement=0 vs assigned=1; name similarity 95.6 vs 70.2 (+25.5); protein=1 family=1 pack=compatible; spec '400 Gms x 12 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"CKPC 'CHICKEN POP-CORN' scores name=96 (rank 1/237) with pack=compatible against the offer's 400gm and cat_ok=1, versus assigned CCF CHICKEN FRIES at name=70 with pack=unknown. A contender above the 85 name threshold whose product identity (popcorn) matches while the assigned SKU is fries is decisive.",1,237,,,False,False,False,False
6,AL KABEER ZING CHICKEN NUGGETS NO SPICY 750GR,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['750gr']; name rank 5/237 (79.1).",deterministic,VERIFIED_CORRECT,"CKZNNS agrees with the offer on all four discriminating axes: sub-brand ZING (cat2=Chicken-ZNG), product NUGGETS, variant NON-SPICY matching 'NO SPICY', and 8 x 750 GMS matching 750GR. Higher-name contenders fail one axis each: CKN (88) is plain Al Kabeer 270g, CKNHSD (85) is HOT n SPICY, CKNTMP (81) is Tempura and not ZING, CKZN (80) is the ZING regular 270g.",0,237,,,False,False,False,False
7,AL KABEER BREADED SHRIMP 250GM,CSB,BREADED SHRIMPS 250,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['250gm']; name rank 1/237 (89.9).",deterministic,VERIFIED_CORRECT,"CSB 'BREADED SHRIMPS 250' is rank 1/237 on both name (89.9) and rule (49.8) with pack=compatible against the offer's 250GM, matching coating (breaded), protein family (shrimps) and pack size exactly; CSBA differs only by being the 1 Kgs bulk pack, which the stated 250GM rules out. prot=0 is a shrimp/prawn tokenizer artifact - every one of the contenders, including exact-name seafood SKUs, reports prot=0, so no replacement could avoid it.",0,237,,,False,False,False,False
8,AL KABEER PANEER CUBES,VPAN500,PANEER CUBES 500,real_flyer_catalogue_forced,CORRECT_BUT_LOW_CONFIDENCE,,,"Assigned SKU accounts for every distinguishing word in the offer (['cube', 'paneer']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic+agent_downgrade,CORRECT_BUT_LOW_CONFIDENCE,"The offer 'AL KABEER PANEER CUBES' states no weight, and VPAN500 (500 gm x 10) and VPAN (200 gm x 20) are the same product differing only in that unstated size; VPAN actually scores name=100 vs 95 for the assigned SKU. Product identity is certain (paneer cubes, Veg, TRADING-VEG) but the size cannot be resolved from the offer text, so the assigned label is plausible rather than demonstrably best.",0,237,,,False,False,False,False
9,Al Kabeer Chicken And Cheese Rings 300gm,CFS,FISH FINGERS 300,real_flyer_catalogue_forced,INCORRECT,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,"CKCCR (CHICKEN ‘N’ CHEESE RINGS 300) is superior: clears a hard rule veto on the assigned SKU while covering every offer word it covered (3/4 tokens). Offer words covered by replacement=['cheese', 'chicken', 'ring'] vs assigned=[]; over-specific words replacement=0 vs assigned=2; name similarity 87.8 vs 36.7 (+51.1); protein=1 family=1 pack=compatible; spec '300 gms x 12 pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer is Chicken And Cheese Rings 300gm but assigned CFS is FISH FINGERS 300 - protein conflict (prot=0), Seafood vs runtime_category=Chicken, and cat_ok=0 means the deployed candidate generator could never surface this pair. CKCCR 'CHICKEN 'N' CHEESE RINGS 300' matches name (88 vs 36.7), protein (prot=1), 300 gms pack (compatible) and passes the category gate; the MULTI_ENTITY note does not help since fish fingers appear nowhere in the offer.",147,237,protein_contradiction,category_gate_unreachable,True,False,True,True
